id,game_id,review_count
4732459,242408,0.060778621128652
3571611,27789,0.017636616546644
3571620,1020,0.013724566638919
3571638,1879,0.009718091887019
3571650,7360,0.00964301396601
3571652,3277,0.008465375164626
3571614,891,0.008008164484314
3571646,3278,0.007995995090377
3571618,136879,0.007929742565538
3571636,119133,0.00728561964713
3571632,250616,0.007016431274275
3571608,114795,0.006860221762073
3571622,124,0.006646509277953
3571658,17000,0.006110173405107
3571691,3070,0.005980612452433
3571676,1877,0.005825595747681
3571683,1942,0.00575959833195
3571678,18866,0.005496677369344
3571695,132516,0.005300608782723
3571641,119171,0.005244643360294
3571628,2165,0.005219987409745
3571717,25076,0.00505765527895
3571657,10239,0.005034405875916
3571685,111469,0.004831800980256
3571666,2058,0.004571844799175
3571660,7504,0.004328518974002
3571634,2903,0.004319638419106
3571648,25657,0.004313522695354
3571710,11198,0.004021209026599
3571623,7878,0.00382917392182
3571694,104967,0.003446234466148
3571743,17832,0.003440946123287
3571706,36926,0.003401845481351
3571715,212089,0.003358890623432
3571687,119313,0.003266382544988
3571745,3042,0.003155299765544
3571945,72,0.002988982416791
3571795,2117,0.002966519025603
3571815,11642,0.002964236833312
3571825,14593,0.002867881433726
3572020,11133,0.002852912734441
3571785,9630,0.002704756396244
3571644,10233,0.002664552579787
3571612,151665,0.002624927929953
3571712,3189,0.002599789340551
3571748,5574,0.002551408242956
3571856,11137,0.002449309441019
3572063,103380,0.00244049783453
3571823,3225,0.002432899720016
3571783,19130,0.00241264267787
3571698,11544,0.002388400417767
3571723,27082,0.002388090149933
3571859,7789,0.002367826212946
3571989,27134,0.002364930379828
3571811,15894,0.002359069765184
3571813,19457,0.002323961236047
3571700,127352,0.002240319922817
3571835,17131,0.002222055489651
3571761,76882,0.002221752116658
3571679,136625,0.002215967345262
3571809,472,0.002187588180704
3571839,9254,0.002162959809518
3571801,28512,0.00216206348022
3571719,125166,0.002053104311729
3571689,1011,0.002035481098752
3571916,82090,0.002005826388654
3571616,24654,0.001977978126835
3571768,1881,0.001953060172337
3571944,122646,0.00194271101636
3571917,113112,0.001928769648348
3571854,9509,0.001912442665435
3571857,16,0.001907154322574
3571774,9066,0.0019013902357
3571931,12517,0.00188182267763
3571776,9608,0.00182293384272
3571999,17447,0.001766375463987
3571770,127346,0.001748159294705
3571888,186725,0.001726013066192
3571791,83728,0.001725695903517
3571729,241,0.001725399425365
3571759,7291,0.001711437372831
3571821,1164,0.001709437869011
3571766,233,0.001693559050746
3571933,7348,0.00166901341765
3571680,33615,0.001657209450273
3572034,28489,0.001628533807562
3571663,1911,0.001620915008525
3571797,90558,0.001600044325552
3572468,143166,0.001565845915395
3571948,141503,0.001555676025278
3571630,279661,0.001505936644053
3571871,135243,0.001505716009149
3571921,7046,0.001483831784584
3571861,70385,0.001477626427903
3571749,16992,0.001473013779436
3571976,55935,0.001452860159902
3572647,9495,0.001451715616336
3571991,9789,0.00145148119175
3571902,7351,0.001429155697377
3571959,103298,0.001420516461908
3571778,866,0.001408374647334
3571733,328373,0.001406830203004
3571757,18094,0.001406637147463
3571626,26128,0.001392902624674
3571985,102584,0.001343321824787
3572057,94085,0.001329470089705
3571978,11800,0.001310874704182
3571940,9061,0.001288197572931
3571793,332780,0.001279972027907
3572072,11582,0.001278531006189
3571935,40477,0.001256770888758
3571731,307,0.001256474410605
3571831,132181,0.001252847724367
3571737,71,0.001225495891082
3572006,26381,0.001224592666942
3571721,103281,0.001220669502551
3572172,9667,0.001208575951863
3571670,27912,0.001208472529251
3572032,731,0.001207865783265
3572166,28552,0.001196096290092
3571878,19686,0.001191821488822
3572059,103054,0.001187243314559
3571739,3212,0.001177135478008
3571867,124333,0.001170406113429
3571914,7599,0.001166613951013
3572145,14362,0.001166600161331
3571640,125642,0.001165372879676
3571937,26855,0.001161532453374
3572028,2025,0.001147335976254
3572099,96437,0.001141282306069
3572076,3019,0.001137000609959
3571875,185252,0.001120997684561
3572102,55056,0.001120149619148
3572310,4843,0.001118384539914
3572127,74701,0.001093376952486
3572053,19560,0.00108950205198
3572038,110248,0.001079780326512
3571881,1081,0.001062584593663
3572196,251833,0.001058813115769
3571906,178351,0.00105100126119
3571803,205780,0.001044009892662
3571884,5597,0.001043816837121
3572022,11162,0.001035991192861
3572067,8965,0.001030475320255
3572178,19164,0.001027779437519
3571704,231,0.00102196019192
3571727,7393,0.001021546501474
3571654,5587,0.001010452702696
3571910,76253,0.001007563764418
3571849,294661,0.001000379340349
3571920,50531,0.000986817188579
3571708,7435,0.000984328151065
3572418,538,0.000969979987449
3572440,11208,0.00096644293414
3572192,5503,0.000965608658409
3572133,20546,0.000964760592995
3572742,16287,0.000952156824091
3572303,32365,0.000949260990973
3572244,37001,0.000942455783145
3572416,7323,0.000938939414359
3572081,21642,0.000937305337099
3571895,1904,0.000926914812077
3572242,55189,0.000921998790617
3572089,119161,0.00091601406884
3572208,3239,0.000912511489735
3572527,139090,0.000909360547509
3572024,203722,0.00089171665001
3572472,81085,0.000891496015106
3572271,13205,0.000889131084726
3572141,19542,0.000885228604858
3571968,142391,0.00088261546021
3572376,6739,0.00088042290085
3572224,3102,0.000876761740407
3572409,18088,0.000875079399262
3572368,124954,0.000875017345696
3572260,6748,0.000874720867543
3572363,1910,0.000866529796723
3571805,3153,0.000865978209463
3573319,72870,0.000863213378319
3572285,133152,0.000861289717747
3572509,7579,0.000860965660232
3571929,28028,0.000856697753803
3572095,23248,0.000851829996228
3572184,65832,0.000845707377635
3572337,103020,0.000844955839993
3572044,8187,0.000842280641779
3572367,37016,0.000836447606498
3572153,154986,0.000833386297202
3572693,26226,0.000831531585038
3572226,143114,0.000826401823514
3571725,5607,0.000825974343387
3571983,148228,0.000823519780078
3572578,86316,0.000823443936829
3572123,55163,0.00082289924441
3571890,182278,0.000815052915628
3571827,7871,0.000813970425629
3572190,188213,0.000804710654491
3572353,8222,0.00080469686481
3572010,3109,0.000800201428636
3572552,529,0.000786142848331
3573038,28540,0.000782536846615
3572703,101440,0.000781502620501
3572297,16611,0.000781068245534
3572492,135998,0.000778841211969
3571817,138950,0.000776855497831
3572444,8347,0.000776186698277
3572148,138949,0.000774924942419
3572424,27729,0.000773601132993
3571964,31712,0.000773015071529
3571966,114684,0.000770429506245
3572643,26472,0.000770236450704
3573050,255777,0.00076592717523
3572206,305152,0.000765547958989
3572048,6880,0.000765099794339
3571672,95118,0.000762727969119
3572003,9174,0.000759783872115
3571925,1369,0.000757225886194
3572291,3152,0.000757163832627
3571873,256092,0.000755495281164
3572480,122666,0.000754723058999
3572018,16999,0.000740954062006
3572158,27421,0.000739251036339
3572752,115060,0.000737327375768
3572230,1384,0.000735383030674
3572332,112916,0.00073279057055
3571955,80961,0.000715305254389
3572488,165351,0.000711740621717
3572863,114283,0.000711161455093
3572220,19561,0.000711154560253
3572384,197202,0.000706921128027
3572264,298526,0.000705597318602
3572364,7706,0.00070148109867
3571886,10919,0.00070121219988
3571923,2950,0.000698799005615
3572246,2955,0.00068964955193
3572287,1985,0.000688946278173
3571735,95308,0.000688360216708
3571772,1907,0.000687622468747
3572553,134483,0.000683775147604
3572060,176057,0.000681996278689
3572354,30225,0.000676625197739
3572305,19562,0.00067463258876
3572395,199116,0.000674322320926
3572889,126098,0.000670378472013
3572539,107315,0.000666455307622
3572289,11171,0.000665883035839
3572682,281275,0.000658739980814
3572125,27744,0.000656002729033
3574600,25838,0.000653658483176
3572426,28856,0.000647184227704
3572008,2114,0.000642585368919
3571833,24515,0.000641406351149
3572216,7498,0.000639889486183
3571781,9728,0.000636876440772
3571753,172771,0.000636621331664
3573455,134070,0.000632898117655
3573677,21453,0.000630147076192
3572593,115115,0.000629050796512
3571869,119416,0.000626699655814
3572012,3025,0.000625465479318
3572633,9730,0.000623555608428
3572215,432,0.000615212851112
3572722,11059,0.000610207196722
3572248,29770,0.000607938794112
3572731,117717,0.000605704865707
3574001,1184,0.000605615232777
3572110,20740,0.000600292415712
3572717,103222,0.000599933883993
3571865,6292,0.000599292663803
3572117,11182,0.000589936364895
3572210,139078,0.000586668210376
3572157,125624,0.000582731256303
3572555,146112,0.000582696782099
3573261,11737,0.000582531305921
3572912,22917,0.000575360671533
3572560,51443,0.000575140036629
3572407,378,0.000574291971216
3572069,19698,0.00057278200109
3572573,55536,0.000572085622173
3572240,27832,0.00057023091001
3572162,2552,0.000569927537016
3572180,732,0.000569713796953
3572464,139708,0.000568920890266
3572466,36897,0.000568562358546
3572614,20065,0.000568369303005
3572267,19441,0.000567990086763
3572150,533,0.000567928033197
3571668,284415,0.000566735225746
